36044918 2005-10-08+04:51:08.0000000000 2013-05-26+22:01:00.3550876550 30086504 29384 jk:jk -rw-r--r-- Wutang - Wu Tang Clan Ain't Nutin Ta Fuck Wit.mpg; 7 /media/Scarydoor/mystuff/moozik/dj practice/Hip Hop/Wu Tang Clan
36045125 2006-01-20+09:45:30.0000000000 2013-05-26+22:01:40.5470888150 46724020 45632 jk:jk -rw-r--r-- Atmosphere - National Disgrace.mpg; 7 /media/Scarydoor/mystuff/moozik/dj practice/Hip Hop/Atmosfear
35783336 2005-09-11+02:17:32.0000000000 2013-05-26+21:59:14.1950845960 1029692 1008 jk:jk -rw-r--r-- 110905.wmv; 6 /media/Scarydoor/mystuff/moozik/TABS/greenday
18744030 2009-03-31+04:44:28.0000000000 2013-04-01+18:38:45.9083890720 2101509 2056 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/17
18744029 2009-03-31+04:44:28.0000000000 2013-04-01+18:38:45.9083890720 2101515 2056 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/17
18744031 2009-03-31+04:44:28.0000000000 2013-04-01+18:38:45.9083890720 2061509 2016 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/17
18744032 2009-03-31+04:44:28.0000000000 2013-04-01+18:38:45.9163890730 2109515 2064 joel:storageadmin -rwxrwxr-x 04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/17
18743937 2010-07-02+05:30:48.0000000000 2013-04-01+18:38:45.9163890730 2777845 2716 joel:storageadmin -rwxrwxr-x vid01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/02
18743938 2010-07-02+05:30:36.0000000000 2013-04-01+18:38:45.9163890730 2025809 1980 joel:storageadmin -rwxrwxr-x vid02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/02
18743940 2010-07-02+05:30:50.0000000000 2013-04-01+18:38:45.9163890730 2737845 2676 joel:storageadmin -rwxrwxr-x vid04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/02
18743939 2010-07-02+05:30:36.0000000000 2013-04-01+18:38:45.9163890730 2209815 2160 joel:storageadmin -rwxrwxr-x vid03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/02
18744018 2009-05-08+17:49:30.0000000000 2013-04-01+18:38:45.9163890730 2125828 2080 joel:storageadmin -rwxrwxr-x hardcorebrides_com_2.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/15
18744020 2009-05-08+17:49:30.0000000000 2013-04-01+18:38:45.9163890730 2129924 2084 joel:storageadmin -rwxrwxr-x hardcorebrides_com_4.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/15
18744017 2009-05-08+17:49:28.0000000000 2013-04-01+18:38:45.9163890730 2129924 2084 joel:storageadmin -rwxrwxr-x hardcorebrides_com_1.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/15
18744019 2009-05-08+17:49:30.0000000000 2013-04-01+18:38:45.9163890730 2125828 2080 joel:storageadmin -rwxrwxr-x hardcorebrides_com_3.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/15
18743971 2009-06-10+05:17:36.0000000000 2013-04-01+18:38:45.9173890730 4309515 4212 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/08
18743970 2009-06-10+05:17:38.0000000000 2013-04-01+18:38:45.9173890730 6957515 6796 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/08
18743972 2009-06-10+05:17:36.0000000000 2013-04-01+18:38:45.9173890730 4341515 4240 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/08
18743973 2009-06-10+05:17:38.0000000000 2013-04-01+18:38:45.9173890730 6437515 6288 joel:storageadmin -rwxrwxr-x 04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/08
18743955 2008-05-08+03:43:46.0000000000 2013-04-01+18:38:45.9173890730 1138315 1112 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/05
18743954 2008-05-08+03:43:40.0000000000 2013-04-01+18:38:45.9173890730 1067915 1044 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/05
18743956 2008-05-08+03:43:50.0000000000 2013-04-01+18:38:45.9173890730 1074315 1052 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/05
18743957 2008-05-08+03:43:56.0000000000 2013-04-01+18:38:45.9173890730 1131915 1108 joel:storageadmin -rwxrwxr-x 04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/05
18743949 2010-07-02+07:20:30.0000000000 2013-04-01+18:38:45.9173890730 2253515 2204 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/04
18743948 2010-07-02+07:20:30.0000000000 2013-04-01+18:38:45.9173890730 2109515 2064 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/04
18743950 2010-07-02+07:20:30.0000000000 2013-04-01+18:38:45.9173890730 2317521 2264 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/04
